datetime, dust, mq135, mq131, mq4, temperature, pressure, altitude
Wed Sep 27 11:57:54 2023,2159,0,0,0,24.9,96515,409.08
Wed Sep 27 11:57:54 2023,2064,0,0,0,24.9,96517,408.39
Wed Sep 27 11:57:54 2023,2158,0,0,0,24.9,96515,408.65
Wed Sep 27 11:57:54 2023,2046,0,0,0,24.9,96517,409.17
Wed Sep 27 11:57:54 2023,2133,0,0,0,24.9,96506,408.48
Wed Sep 27 11:57:54 2023,2061,0,0,0,24.9,96507,409.08
Wed Sep 27 11:57:54 2023,2096,0,0,0,24.9,96507,408.91
Wed Sep 27 11:57:56 2023,2169,0,0,0,24.9,96506,408.74
Wed Sep 27 11:57:56 2023,2160,0,0,0,25.0,96513,408.56
Wed Sep 27 11:57:56 2023,2151,0,0,0,24.9,96509,408.65
Wed Sep 27 11:57:56 2023,2055,0,0,0,24.9,96517,408.74
Wed Sep 27 11:57:56 2023,2139,0,0,0,24.9,96514,408.74
Wed Sep 27 11:57:57 2023,2137,0,0,0,24.9,96513,408.82
Wed Sep 27 11:57:57 2023,2097,0,0,0,24.9,96512,408.48
Wed Sep 27 11:57:57 2023,2074,0,0,0,24.9,96514,409.0
Wed Sep 27 11:57:57 2023,2139,0,0,0,24.9,96513,408.82
Wed Sep 27 11:57:57 2023,2061,0,0,0,24.9,96512,408.04
Wed Sep 27 11:57:57 2023,2172,0,0,0,24.9,96517,408.74
Wed Sep 27 11:57:58 2023,2141,0,0,0,24.9,96516,408.48
Wed Sep 27 11:57:58 2023,2065,0,0,0,24.9,96510,408.56
Wed Sep 27 11:57:58 2023,2139,0,0,0,24.9,96516,408.56
Wed Sep 27 11:57:58 2023,2070,0,0,0,24.9,96512,408.48
Wed Sep 27 11:57:58 2023,2096,0,0,0,24.9,96512,408.56
Wed Sep 27 11:57:58 2023,2129,0,0,0,24.9,96512,409.0
Wed Sep 27 11:57:59 2023,2063,0,0,0,24.9,96514,407.96
Wed Sep 27 11:57:59 2023,2160,0,0,0,24.9,96515,408.65
Wed Sep 27 11:57:59 2023,2060,0,0,0,24.9,96516,407.61
Wed Sep 27 11:57:59 2023,2147,0,0,0,24.9,96512,409.08
Wed Sep 27 11:57:59 2023,2064,0,0,0,24.9,96510,408.74
Wed Sep 27 11:58:00 2023,2077,0,0,0,24.9,96512,408.39
Wed Sep 27 11:58:00 2023,2143,0,0,0,25.0,96512,408.3
Wed Sep 27 11:58:00 2023,2066,0,0,0,24.9,96514,408.56
Wed Sep 27 11:58:00 2023,2160,0,0,0,24.9,96513,408.22
Wed Sep 27 11:58:00 2023,2047,0,0,0,24.9,96509,409.08
Wed Sep 27 11:58:01 2023,2131,0,0,0,24.9,96513,408.65
Wed Sep 27 11:58:01 2023,2059,0,0,0,24.9,96512,408.82
Wed Sep 27 11:58:01 2023,2113,0,0,0,24.9,96510,408.56
Wed Sep 27 11:58:01 2023,2123,0,0,0,24.9,96511,408.65
Wed Sep 27 11:58:01 2023,2064,0,0,0,24.9,96516,408.91
Wed Sep 27 11:58:02 2023,2167,0,0,0,24.9,96514,408.82
Wed Sep 27 11:58:02 2023,2057,0,0,0,24.9,96508,408.3
Wed Sep 27 11:58:02 2023,2142,0,0,0,24.9,96510,408.56
Wed Sep 27 11:58:02 2023,2064,0,0,0,24.9,96514,408.39
Wed Sep 27 11:58:02 2023,2131,0,0,0,24.9,96512,408.65
Wed Sep 27 11:58:03 2023,2129,0,0,0,24.9,96511,409.0
Wed Sep 27 11:58:03 2023,2065,0,0,0,24.9,96506,408.91
Wed Sep 27 11:58:03 2023,2161,0,0,0,25.0,96510,408.39
Wed Sep 27 11:58:03 2023,2047,0,0,0,24.9,96514,409.08
Wed Sep 27 11:58:03 2023,2160,0,0,0,25.0,96510,408.48
Wed Sep 27 11:58:04 2023,2064,0,0,0,25.0,96513,409.17
Wed Sep 27 11:58:04 2023,2135,0,0,0,25.0,96514,408.39
Wed Sep 27 11:58:04 2023,2081,0,0,0,25.0,96514,408.3
Wed Sep 27 11:58:04 2023,2075,0,0,0,25.0,96514,408.39
Wed Sep 27 11:58:04 2023,2144,0,0,0,24.9,96516,407.78
Wed Sep 27 11:58:05 2023,2054,0,0,0,24.9,96508,408.65
