category,Temperature,Pressure,Altitude,RSSI
Thu Jun 22 20:21:33 2023,19.6,95403,504.97,-36
Thu Jun 22 20:21:42 2023,19.6,95393,505.14,-36
Thu Jun 22 20:21:46 2023,19.6,95401,505.14,-34
Thu Jun 22 20:21:54 2023,19.6,95395,505.14,-35
Thu Jun 22 20:21:59 2023,19.6,95393,506.02,-36
Thu Jun 22 20:22:03 2023,19.6,95394,506.1,-35
Thu Jun 22 20:22:08 2023,19.6,95397,505.67,-35
Thu Jun 22 20:22:16 2023,19.5,95392,505.75,-36
Thu Jun 22 20:22:20 2023,19.6,95399,505.67,-35
Thu Jun 22 20:22:25 2023,19.6,95395,505.32,-36
